start_seconds,end_seconds,value_corr,modulation_depth
0,60,-0.06573685780122812,0.4327977461271171
30,90,-0.05035066474704263,0.4271099296147104
60,120,-0.02912287741074324,0.5891933820579947
90,150,-0.01986518210935718,0.7340941529164009
120,180,0.20985748447616914,0.644430874976669
150,210,0.06224973241008438,0.7159949109333132
180,240,-0.01858679765998386,0.9005102173889921
210,270,0.10347658285213801,0.7847490810216671
240,300,0.26413782174060707,0.5948567507383742
