depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.05,0.10537346318751385,1,serial_force,0.17599699627154636,0.7172931065392056
0.05,0.10537346318751385,1,esn_matched,0.3314293854490749,0.6075827795729537
0.05,0.10537346318751385,2,serial_force,0.17788126725865677,0.6844021384643276
0.05,0.10537346318751385,2,esn_matched,0.33837240961902937,0.5785490045788313
0.05,0.10537346318751385,3,serial_force,0.18285408658458738,0.683958529689112
0.05,0.10537346318751385,3,esn_matched,0.3406475658473838,0.5817820168144936
0.05,0.10537346318751385,4,serial_force,0.17155155012195378,0.708380209635498
0.05,0.10537346318751385,4,esn_matched,0.3399251383695972,0.62307920023713
0.05,0.10537346318751385,5,serial_force,0.2593052482108507,0.6845743906022128
0.05,0.10537346318751385,5,esn_matched,0.34630549104393654,0.5859640510232749
0.05,0.10537346318751385,6,serial_force,0.27769255244328145,0.6892634003041911
0.05,0.10537346318751385,6,esn_matched,0.37006462440046517,0.5322676752491508
0.1,0.20234569236597677,1,serial_force,0.17599699627154636,0.7183789341053942
0.1,0.20234569236597677,1,esn_matched,0.3314293854490749,0.6150491426910489
0.1,0.20234569236597677,2,serial_force,0.17788126725865677,0.6845504631623508
0.1,0.20234569236597677,2,esn_matched,0.33837240961902937,0.5856519056740018
0.1,0.20234569236597677,3,serial_force,0.18285408658458738,0.687067177632479
0.1,0.20234569236597677,3,esn_matched,0.3406475658473838,0.5905282413104113
0.1,0.20234569236597677,4,serial_force,0.17155155012195378,0.7084962895451524
0.1,0.20234569236597677,4,esn_matched,0.3399251383695972,0.630145538545278
0.1,0.20234569236597677,5,serial_force,0.2593052482108507,0.6831469694567864
0.1,0.20234569236597677,5,esn_matched,0.34630549104393654,0.5911460710847062
0.1,0.20234569236597677,6,serial_force,0.27769255244328145,0.6872357262189341
0.1,0.20234569236597677,6,esn_matched,0.37006462440046517,0.5387942664602128
0.18,0.3574020755765,1,serial_force,0.17599699627154636,0.7213280781189684
0.18,0.3574020755765,1,esn_matched,0.3314293854490749,0.632579388951939
0.18,0.3574020755765,2,serial_force,0.17788126725865677,0.6862627900241627
0.18,0.3574020755765,2,esn_matched,0.33837240961902937,0.6021669859126952
0.18,0.3574020755765,3,serial_force,0.18285408658458738,0.6932962626780119
0.18,0.3574020755765,3,esn_matched,0.3406475658473838,0.6102194339626371
0.18,0.3574020755765,4,serial_force,0.17155155012195378,0.7102204524841339
0.18,0.3574020755765,4,esn_matched,0.3399251383695972,0.6462839616702701
0.18,0.3574020755765,5,serial_force,0.2593052482108507,0.6824411555989135
0.18,0.3574020755765,5,esn_matched,0.34630549104393654,0.6040774119693675
0.18,0.3574020755765,6,serial_force,0.27769255244328145,0.6854492510279535
0.18,0.3574020755765,6,esn_matched,0.37006462440046517,0.5559453011351518
0.3,0.5914162428245416,1,serial_force,0.17599699627154636,0.7283053939126669
0.3,0.5914162428245416,1,esn_matched,0.3314293854490749,0.6695363836174764
0.3,0.5914162428245416,2,serial_force,0.17788126725865677,0.6920509045105249
0.3,0.5914162428245416,2,esn_matched,0.33837240961902937,0.6367669251004994
0.3,0.5914162428245416,3,serial_force,0.18285408658458738,0.7050813939265504
0.3,0.5914162428245416,3,esn_matched,0.3406475658473838,0.6503825561678864
0.3,0.5914162428245416,4,serial_force,0.17155155012195378,0.7161686198365522
0.3,0.5914162428245416,4,esn_matched,0.3399251383695972,0.6797596486611385
0.3,0.5914162428245416,5,serial_force,0.2593052482108507,0.6849961519363399
0.3,0.5914162428245416,5,esn_matched,0.34630549104393654,0.6326043365124084
0.3,0.5914162428245416,6,serial_force,0.27769255244328145,0.686183329504701
0.3,0.5914162428245416,6,esn_matched,0.37006462440046517,0.5945186942987017
0.5,0.9799397126520014,1,serial_force,0.17599699627154636,0.7449630565579883
0.5,0.9799397126520014,1,esn_matched,0.3314293854490749,0.7476459682719763
0.5,0.9799397126520014,2,serial_force,0.17788126725865677,0.7084689144411063
0.5,0.9799397126520014,2,esn_matched,0.33837240961902937,0.7096420893532349
0.5,0.9799397126520014,3,serial_force,0.18285408658458738,0.728714372557443
0.5,0.9799397126520014,3,esn_matched,0.3406475658473838,0.7329129317963194
0.5,0.9799397126520014,4,serial_force,0.17155155012195378,0.73316684250556
0.5,0.9799397126520014,4,esn_matched,0.3399251383695972,0.7500949817152377
0.5,0.9799397126520014,5,serial_force,0.2593052482108507,0.6975109478916602
0.5,0.9799397126520014,5,esn_matched,0.34630549104393654,0.6952975777833806
0.5,0.9799397126520014,6,serial_force,0.27769255244328145,0.6955063243306402
0.5,0.9799397126520014,6,esn_matched,0.37006462440046517,0.6786693558496089
0.75,1.4628145415628584,1,serial_force,0.17599699627154636,0.769338344837771
0.75,1.4628145415628584,1,esn_matched,0.3314293854490749,0.8483709938400562
0.75,1.4628145415628584,2,serial_force,0.17788126725865677,0.7348135015386323
0.75,1.4628145415628584,2,esn_matched,0.33837240961902937,0.8034934198899785
0.75,1.4628145415628584,3,serial_force,0.18285408658458738,0.7590922773034557
0.75,1.4628145415628584,3,esn_matched,0.3406475658473838,0.8370567438009143
0.75,1.4628145415628584,4,serial_force,0.17155155012195378,0.7605375057540295
