depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.35,0.8849196048533569,1,serial_force,0.3380762981147203,0.8705446297516224
0.35,0.8849196048533569,1,parallel,0.34001415974700444,0.939369007654253
0.35,0.8849196048533569,1,all_optical,0.7047496603947296,0.8604321276318001
0.35,0.8849196048533569,1,esn_matched,0.36146684604654,0.7546290619248744
0.35,0.8849196048533569,2,serial_force,0.3287242522265938,0.8715530521794342
0.35,0.8849196048533569,2,parallel,0.3327286161894218,0.8981627075450307
0.35,0.8849196048533569,2,all_optical,0.7357569234427201,0.8534970383727847
0.35,0.8849196048533569,2,esn_matched,0.3620082472239034,0.7693903460672841
0.35,0.8849196048533569,3,serial_force,0.3757618866575689,0.8957254468881883
0.35,0.8849196048533569,3,parallel,0.3679822733804587,0.9884482026330182
0.35,0.8849196048533569,3,all_optical,0.7177106869804823,0.8846441326545418
0.35,0.8849196048533569,3,esn_matched,0.35094583971346155,0.7621818823463848
0.35,0.8849196048533569,4,serial_force,0.3215407826941749,0.8839443026776332
0.35,0.8849196048533569,4,parallel,0.397993888055694,0.9152458203695529
0.35,0.8849196048533569,4,all_optical,0.7028762917426972,0.874790649356203
0.35,0.8849196048533569,4,esn_matched,0.36454965155408997,0.7748251181115109
0.35,0.8849196048533569,5,serial_force,0.47120886308335674,0.8860203745518
0.35,0.8849196048533569,5,parallel,0.3873212146435883,0.9050717444886296
0.35,0.8849196048533569,5,all_optical,0.7127511609401798,0.877881418235546
0.35,0.8849196048533569,5,esn_matched,0.3637949411556048,0.7774230241683918
0.35,0.8849196048533569,6,serial_force,0.32414475038222335,0.8815900566046408
0.35,0.8849196048533569,6,parallel,0.40342713412779246,0.9058723088939592
0.35,0.8849196048533569,6,all_optical,0.6977490753076357,0.8508207132841088
0.35,0.8849196048533569,6,esn_matched,0.3709564477518164,0.7644128112956365
0.6,1.3249928219051237,1,serial_force,0.3380762981147203,0.8733424662559287
0.6,1.3249928219051237,1,parallel,0.34001415974700444,0.9591078193965726
0.6,1.3249928219051237,1,all_optical,0.7047496603947296,0.8663933832973125
0.6,1.3249928219051237,1,esn_matched,0.36146684604654,0.8003965005940199
0.6,1.3249928219051237,2,serial_force,0.3287242522265938,0.8709283012664746
0.6,1.3249928219051237,2,parallel,0.3327286161894218,0.9135396724856176
0.6,1.3249928219051237,2,all_optical,0.7357569234427201,0.8319373115241333
0.6,1.3249928219051237,2,esn_matched,0.3620082472239034,0.80638522059299
0.6,1.3249928219051237,3,serial_force,0.3757618866575689,0.8837891940463422
0.6,1.3249928219051237,3,parallel,0.3679822733804587,0.9851746372961252
0.6,1.3249928219051237,3,all_optical,0.7177106869804823,0.8742104014361917
0.6,1.3249928219051237,3,esn_matched,0.35094583971346155,0.8025450072085613
0.6,1.3249928219051237,4,serial_force,0.3215407826941749,0.8781488527921314
0.6,1.3249928219051237,4,parallel,0.397993888055694,0.9201794467577343
0.6,1.3249928219051237,4,all_optical,0.7028762917426972,0.8615772053263548
0.6,1.3249928219051237,4,esn_matched,0.36454965155408997,0.8026178000149661
