task,architecture,seed,nrmse_slow,nrmse_fast
sinusoid,esn_matched,1,0.32478436476130756,0.9320788292505318
sinusoid,esn_small,1,0.27470672019979553,0.8565359343598006
sinusoid,optical_only,1,0.6196307265915945,0.9429966071626398
sinusoid,acoustic_only,1,0.18550801387023888,1.0020167039760965
sinusoid,parallel,1,0.1950330179261795,0.8682504376842597
sinusoid,serial_force,1,0.17809840610819494,0.7828743532675141
sinusoid,esn_matched,2,0.34194617218606177,0.8713383009113543
sinusoid,esn_small,2,0.33756545774015223,0.8102678246112534
sinusoid,optical_only,2,0.6501307283511222,0.9250940966539773
sinusoid,acoustic_only,2,0.2737177609503111,1.0224735031112295
sinusoid,parallel,2,0.263412063155176,0.8453699933186462
sinusoid,serial_force,2,0.17971290089446584,0.7480738896010529
sinusoid,esn_matched,3,0.3399656536218339,0.9276346280785499
sinusoid,esn_small,3,0.2909910115794638,0.8450070905662007
sinusoid,optical_only,3,0.6368070079317926,0.9417619262452338
sinusoid,acoustic_only,3,0.20962408166177385,1.004341688100731
sinusoid,parallel,3,0.1977031858655112,0.860247928989373
sinusoid,serial_force,3,0.1867935627187685,0.7815272564253245
sinusoid,esn_matched,4,0.3493522426688354,0.9193257933819041
sinusoid,esn_small,4,0.2734161202446992,0.8202938899905523
sinusoid,optical_only,4,0.657105386099955,0.9402801637057431
sinusoid,acoustic_only,4,0.1969064550185515,1.0012195964647113
sinusoid,parallel,4,0.20498682006795266,0.8657645482653263
sinusoid,serial_force,4,0.17671290270464265,0.7869586799958621
sinusoid,esn_matched,5,0.3461393115495252,0.8735603125200884
sinusoid,esn_small,5,0.258407911948333,0.8400822542200591
sinusoid,optical_only,5,0.6833307614011768,0.9189461367600565
sinusoid,acoustic_only,5,0.2944617651980973,1.0147188722568332
sinusoid,parallel,5,0.2875873025632092,0.8498739827859902
sinusoid,serial_force,5,0.26065881986349404,0.7512602997095167
sinusoid,esn_matched,6,0.35938783176922084,0.8812094055868672
sinusoid,esn_small,6,0.37773963908679886,0.8064663294627813
sinusoid,optical_only,6,0.7165213536456362,0.9199259179816943
sinusoid,acoustic_only,6,0.2495109604294235,1.001083098534658
sinusoid,parallel,6,0.24811330400962356,0.8358403337325481
sinusoid,serial_force,6,0.27172194137240585,0.7407046971724875
broadband,esn_matched,1,0.30756352808064513,0.9834451648611854
broadband,esn_small,1,0.31847192026638227,1.0231015811835276
broadband,optical_only,1,0.56707132422852,0.9582103572636907
broadband,acoustic_only,1,0.20523248417619708,1.0024426991205102
broadband,parallel,1,0.20607333232815084,0.9334176856027117
broadband,serial_force,1,0.21749209991932716,0.8241051142093332
broadband,esn_matched,2,0.32471050818350145,0.9503082273022065
broadband,esn_small,2,0.31857919556387393,0.8501348967740766
broadband,optical_only,2,0.5996080767971279,0.9466099247301674
broadband,acoustic_only,2,0.2190475670998399,1.0146437254058644
broadband,parallel,2,0.20703089836344887,0.9286905766890461
broadband,serial_force,2,0.1835790162356095,0.8220362270799673
broadband,esn_matched,3,0.34443574115492237,0.8948914835930406
broadband,esn_small,3,0.2897268347303467,0.8629275008275321
broadband,optical_only,3,0.5787302811490238,0.9571987736227956
broadband,acoustic_only,3,0.17225138289487443,0.9982617450271979
broadband,parallel,3,0.1617469979527735,0.8958613767107012
broadband,serial_force,3,0.2169708874252038,0.7880706776096916
broadband,esn_matched,4,0.32760526340616275,0.9902654806504996
broadband,esn_small,4,0.2914793996048289,0.8761812255268584
broadband,optical_only,4,0.6356694480781797,0.9368451256847127
broadband,acoustic_only,4,0.15934016680632512,1.0101015423944684
broadband,parallel,4,0.16923153967447027,0.9160628211268149
broadband,serial_force,4,0.1651610822600439,0.7834229043913751
broadband,esn_matched,5,0.36633622878229843,0.8485989471700279
broadband,esn_small,5,0.296781659054281,0.778753539384364
broadband,optical_only,5,0.6464198659287514,0.8976304242764875
broadband,acoustic_only,5,0.2607804068791694,1.00109873118229
broadband,parallel,5,0.2536462980627368,0.8537013880369964
broadband,serial_force,5,0.2650347953655402,0.7427844500388991
broadband,esn_matched,6,0.385879820318642,0.8508862340149248
broadband,esn_small,6,0.40783710742792795,0.8300992763826182
broadband,optical_only,6,0.6577711328944273,0.9070446725255282
broadband,acoustic_only,6,0.29588887560248567,0.9999801512337179
broadband,parallel,6,0.29063408320314343,0.8626967035800599
broadband,serial_force,6,0.3150834784743656,0.7187896266759902
real_ecg,esn_matched,1,0.361450851052121,0.713063881958939
real_ecg,esn_small,1,0.37295200739747214,0.7466654513691435
real_ecg,optical_only,1,0.44663694130129944,0.9049840112076009
real_ecg,acoustic_only,1,0.4450036842190903,1.0000019249433765
real_ecg,parallel,1,0.33951359756225463,0.9110833130884374
real_ecg,serial_force,1,0.3416588652795443,0.8767259341598762
real_ecg,esn_matched,2,0.3619757668379454,0.736796791764054
real_ecg,esn_small,2,0.37434481461212477,0.7496692141006802
real_ecg,optical_only,2,0.47132568433751854,0.8984941076017692
real_ecg,acoustic_only,2,0.418143057543492,0.9999996728301933
real_ecg,parallel,2,0.33260908223959046,0.8883881301838719
real_ecg,serial_force,2,0.3302191223496059,0.8860023604637965
real_ecg,esn_matched,3,0.35104854452500844,0.73032805507404
real_ecg,esn_small,3,0.3821406073050864,0.770964741961495
real_ecg,optical_only,3,0.47854397073587585,0.9542575272698263
