config_id,architecture,task,optical_theta,acoustic_c,n_reservoir,readout_reg,theta2,nrmse_primary,nrmse_slow,nrmse_fast,nrmse_std,ci_95,n_successful,n_total
45,all_optical,dual_timescale,0.2,0.3,300,0.001,3.0,0.9151,0.5508,0.9151,0.0172,0.0214,5,5
46,all_optical,mackey_glass,0.2,0.3,300,0.001,3.0,0.0871,0.0871,N/A,0.0324,0.0402,5,5
47,all_optical,narma10,0.2,0.3,300,0.001,3.0,0.8460,0.8460,N/A,0.0198,0.0245,5,5
48,serial_force,dual_timescale,0.2,1.0,100,1e-06,N/A,0.8037,0.1026,0.8037,0.0289,0.0359,5,5
49,serial_force,mackey_glass,0.2,1.0,100,1e-06,N/A,0.0264,0.0264,N/A,0.0051,0.0063,5,5
50,serial_force,narma10,0.2,1.0,100,1e-06,N/A,0.6604,0.6604,N/A,0.0311,0.0386,5,5
51,parallel,dual_timescale,0.2,1.0,100,1e-06,N/A,0.8640,0.0850,0.8640,0.0241,0.0299,5,5
52,parallel,mackey_glass,0.2,1.0,100,1e-06,N/A,0.0285,0.0285,N/A,0.0038,0.0048,5,5
53,parallel,narma10,0.2,1.0,100,1e-06,N/A,0.6594,0.6594,N/A,0.0292,0.0363,5,5
54,all_optical,dual_timescale,0.2,1.0,100,1e-06,0.5,0.8850,0.4985,0.8850,0.0279,0.0346,5,5
55,all_optical,mackey_glass,0.2,1.0,100,1e-06,0.5,0.0289,0.0289,N/A,0.0013,0.0016,5,5
56,all_optical,narma10,0.2,1.0,100,1e-06,0.5,0.8255,0.8255,N/A,0.0194,0.0241,5,5
57,all_optical,dual_timescale,0.2,1.0,100,1e-06,3.0,0.8826,0.4908,0.8826,0.0256,0.0317,5,5
58,all_optical,mackey_glass,0.2,1.0,100,1e-06,3.0,0.0266,0.0266,N/A,0.0013,0.0016,5,5
59,all_optical,narma10,0.2,1.0,100,1e-06,3.0,0.8238,0.8238,N/A,0.0187,0.0232,5,5
60,serial_force,dual_timescale,0.2,1.0,100,0.001,N/A,0.8345,0.1606,0.8345,0.0262,0.0326,5,5
61,serial_force,mackey_glass,0.2,1.0,100,0.001,N/A,0.0880,0.0880,N/A,0.0117,0.0145,5,5
62,serial_force,narma10,0.2,1.0,100,0.001,N/A,0.7121,0.7121,N/A,0.0324,0.0402,5,5
63,parallel,dual_timescale,0.2,1.0,100,0.001,N/A,0.8909,0.1186,0.8909,0.0143,0.0178,5,5
64,parallel,mackey_glass,0.2,1.0,100,0.001,N/A,0.0985,0.0985,N/A,0.0078,0.0097,5,5
65,parallel,narma10,0.2,1.0,100,0.001,N/A,0.6992,0.6992,N/A,0.0314,0.0390,5,5
66,all_optical,dual_timescale,0.2,1.0,100,0.001,0.5,0.9141,0.5742,0.9141,0.0195,0.0243,5,5
67,all_optical,mackey_glass,0.2,1.0,100,0.001,0.5,0.1058,0.1058,N/A,0.0195,0.0242,5,5
68,all_optical,narma10,0.2,1.0,100,0.001,0.5,0.8574,0.8574,N/A,0.0193,0.0240,5,5
69,all_optical,dual_timescale,0.2,1.0,100,0.001,3.0,0.9141,0.5742,0.9141,0.0189,0.0235,5,5
70,all_optical,mackey_glass,0.2,1.0,100,0.001,3.0,0.1061,0.1061,N/A,0.0201,0.0249,5,5
71,all_optical,narma10,0.2,1.0,100,0.001,3.0,0.8569,0.8569,N/A,0.0172,0.0213,5,5
72,serial_force,dual_timescale,0.2,1.0,300,1e-06,N/A,0.7987,0.1019,0.7987,0.0297,0.0369,5,5
73,serial_force,mackey_glass,0.2,1.0,300,1e-06,N/A,0.0255,0.0255,N/A,0.0037,0.0046,5,5
74,serial_force,narma10,0.2,1.0,300,1e-06,N/A,0.6543,0.6543,N/A,0.0347,0.0431,5,5
75,parallel,dual_timescale,0.2,1.0,300,1e-06,N/A,0.8368,0.0855,0.8368,0.0242,0.0301,5,5
76,parallel,mackey_glass,0.2,1.0,300,1e-06,N/A,0.0290,0.0290,N/A,0.0044,0.0054,5,5
