alpha,flatness,depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.0,0.0013343466642303176,0.1,0.20029614495606507,1,serial_force,0.1780894358688762,0.7092440712019978
0.0,0.0013343466642303176,0.1,0.20029614495606507,1,esn_matched,0.32445643777621436,0.6069866151871933
0.0,0.0013343466642303176,0.1,0.20029614495606507,2,serial_force,0.17973080857949364,0.6757894748672182
0.0,0.0013343466642303176,0.1,0.20029614495606507,2,esn_matched,0.34244300597842303,0.564709597350389
0.0,0.0013343466642303176,0.1,0.20029614495606507,3,serial_force,0.18681297455231147,0.682487752163897
0.0,0.0013343466642303176,0.1,0.20029614495606507,3,esn_matched,0.3396727108001403,0.6011867878023545
0.0,0.0013343466642303176,0.1,0.20029614495606507,4,serial_force,0.17670101782703737,0.709110661401785
0.0,0.0013343466642303176,0.1,0.20029614495606507,4,esn_matched,0.349282414652969,0.628337417548411
0.0,0.0013343466642303176,0.1,0.20029614495606507,5,serial_force,0.2606547759383776,0.6843881171987765
0.0,0.0013343466642303176,0.1,0.20029614495606507,5,esn_matched,0.34567515796238,0.5994333377205288
0.0,0.0013343466642303176,0.1,0.20029614495606507,6,serial_force,0.2717015763264291,0.6802829401658327
0.0,0.0013343466642303176,0.1,0.20029614495606507,6,esn_matched,0.3590553027942417,0.5247378527868666
0.0,0.0013343466642303176,0.18,0.3551265534709498,1,serial_force,0.1780894358688762,0.7116922998828922
0.0,0.0013343466642303176,0.18,0.3551265534709498,1,esn_matched,0.32445643777621436,0.6240119524598738
0.0,0.0013343466642303176,0.18,0.3551265534709498,2,serial_force,0.17973080857949364,0.6765734916987055
0.0,0.0013343466642303176,0.18,0.3551265534709498,2,esn_matched,0.34244300597842303,0.5804017805052211
0.0,0.0013343466642303176,0.18,0.3551265534709498,3,serial_force,0.18681297455231147,0.6885628389273805
0.0,0.0013343466642303176,0.18,0.3551265534709498,3,esn_matched,0.3396727108001403,0.6197008988885498
0.0,0.0013343466642303176,0.18,0.3551265534709498,4,serial_force,0.17670101782703737,0.7105991268144429
0.0,0.0013343466642303176,0.18,0.3551265534709498,4,esn_matched,0.349282414652969,0.6440197825997438
0.0,0.0013343466642303176,0.18,0.3551265534709498,5,serial_force,0.2606547759383776,0.6839489690666457
0.0,0.0013343466642303176,0.18,0.3551265534709498,5,esn_matched,0.34567515796238,0.6146892896284298
0.0,0.0013343466642303176,0.18,0.3551265534709498,6,serial_force,0.2717015763264291,0.6792446868354921
0.0,0.0013343466642303176,0.18,0.3551265534709498,6,esn_matched,0.3590553027942417,0.5434178272477675
0.0,0.0013343466642303176,0.3,0.5870151327524181,1,serial_force,0.1780894358688762,0.7181247720934045
0.0,0.0013343466642303176,0.3,0.5870151327524181,1,esn_matched,0.32445643777621436,0.6609417621897782
0.0,0.0013343466642303176,0.3,0.5870151327524181,2,serial_force,0.17973080857949364,0.6811560324716452
0.0,0.0013343466642303176,0.3,0.5870151327524181,2,esn_matched,0.34244300597842303,0.6149119300697091
0.0,0.0013343466642303176,0.3,0.5870151327524181,3,serial_force,0.18681297455231147,0.7002444419718359
0.0,0.0013343466642303176,0.3,0.5870151327524181,3,esn_matched,0.3396727108001403,0.6581966046645884
0.0,0.0013343466642303176,0.3,0.5870151327524181,4,serial_force,0.17670101782703737,0.716229174463338
0.0,0.0013343466642303176,0.3,0.5870151327524181,4,esn_matched,0.349282414652969,0.6772531792936989
0.0,0.0013343466642303176,0.3,0.5870151327524181,5,serial_force,0.2606547759383776,0.6869153660204157
0.0,0.0013343466642303176,0.3,0.5870151327524181,5,esn_matched,0.34567515796238,0.6464687061131464
0.0,0.0013343466642303176,0.3,0.5870151327524181,6,serial_force,0.2717015763264291,0.6812153037743852
0.0,0.0013343466642303176,0.3,0.5870151327524181,6,esn_matched,0.3590553027942417,0.5846001072897645
0.0,0.0013343466642303176,0.5,0.9755781078444663,1,serial_force,0.1780894358688762,0.7344445413021816
0.0,0.0013343466642303176,0.5,0.9755781078444663,1,esn_matched,0.32445643777621436,0.7404209938239844
0.0,0.0013343466642303176,0.5,0.9755781078444663,2,serial_force,0.17973080857949364,0.6962084165606358
0.0,0.0013343466642303176,0.5,0.9755781078444663,2,esn_matched,0.34244300597842303,0.6898138748870113
0.0,0.0013343466642303176,0.5,0.9755781078444663,3,serial_force,0.18681297455231147,0.7240124375281464
0.0,0.0013343466642303176,0.5,0.9755781078444663,3,esn_matched,0.3396727108001403,0.7385817151224978
0.0,0.0013343466642303176,0.5,0.9755781078444663,4,serial_force,0.17670101782703737,0.7328366163863297
0.0,0.0013343466642303176,0.5,0.9755781078444663,4,esn_matched,0.349282414652969,0.7481322386118356
0.0,0.0013343466642303176,0.5,0.9755781078444663,5,serial_force,0.2606547759383776,0.7000730397722517
0.0,0.0013343466642303176,0.5,0.9755781078444663,5,esn_matched,0.34567515796238,0.7134492453915555
0.0,0.0013343466642303176,0.5,0.9755781078444663,6,serial_force,0.2717015763264291,0.6926566152049012
0.0,0.0013343466642303176,0.5,0.9755781078444663,6,esn_matched,0.3590553027942417,0.6729341350784568
0.0,0.0013343466642303176,1.0,1.9366064055309213,1,serial_force,0.1780894358688762,0.7828455100584116
0.0,0.0013343466642303176,1.0,1.9366064055309213,1,esn_matched,0.32445643777621436,0.9317774002552711
0.0,0.0013343466642303176,1.0,1.9366064055309213,2,serial_force,0.17973080857949364,0.7481321015058928
0.0,0.0013343466642303176,1.0,1.9366064055309213,2,esn_matched,0.34244300597842303,0.8711406945643699
0.0,0.0013343466642303176,1.0,1.9366064055309213,3,serial_force,0.18681297455231147,0.7815399924123441
0.0,0.0013343466642303176,1.0,1.9366064055309213,3,esn_matched,0.3396727108001403,0.9273941579684504
0.0,0.0013343466642303176,1.0,1.9366064055309213,4,serial_force,0.17670101782703737,0.7869603241893656
0.0,0.0013343466642303176,1.0,1.9366064055309213,4,esn_matched,0.349282414652969,0.9191483098838013
0.0,0.0013343466642303176,1.0,1.9366064055309213,5,serial_force,0.2606547759383776,0.7512984658512256
0.0,0.0013343466642303176,1.0,1.9366064055309213,5,esn_matched,0.34567515796238,0.8736075006263059
0.0,0.0013343466642303176,1.0,1.9366064055309213,6,serial_force,0.2717015763264291,0.7407203107797303
0.0,0.0013343466642303176,1.0,1.9366064055309213,6,esn_matched,0.3590553027942417,0.8815508746742875
0.15,0.006442689499030683,0.1,0.20029614495606507,1,serial_force,0.17599699627154636,0.7183789341053942
0.15,0.006442689499030683,0.1,0.20029614495606507,1,esn_matched,0.3314293854490749,0.6150491426910489
0.15,0.006442689499030683,0.1,0.20029614495606507,2,serial_force,0.17788126725865677,0.6845504631623508
0.15,0.006442689499030683,0.1,0.20029614495606507,2,esn_matched,0.33837240961902937,0.5856519056740018
0.15,0.006442689499030683,0.1,0.20029614495606507,3,serial_force,0.18285408658458738,0.687067177632479
0.15,0.006442689499030683,0.1,0.20029614495606507,3,esn_matched,0.3406475658473838,0.5905282413104113
0.15,0.006442689499030683,0.1,0.20029614495606507,4,serial_force,0.17155155012195378,0.7084962895451524
0.15,0.006442689499030683,0.1,0.20029614495606507,4,esn_matched,0.3399251383695972,0.630145538545278
0.15,0.006442689499030683,0.1,0.20029614495606507,5,serial_force,0.2593052482108507,0.6831469694567864
0.15,0.006442689499030683,0.1,0.20029614495606507,5,esn_matched,0.34630549104393654,0.5911460710847062
0.15,0.006442689499030683,0.1,0.20029614495606507,6,serial_force,0.27769255244328145,0.6872357262189341
0.15,0.006442689499030683,0.1,0.20029614495606507,6,esn_matched,0.37006462440046517,0.5387942664602128
0.15,0.006442689499030683,0.18,0.3551265534709498,1,serial_force,0.17599699627154636,0.7213280781189684
0.15,0.006442689499030683,0.18,0.3551265534709498,1,esn_matched,0.3314293854490749,0.632579388951939
0.15,0.006442689499030683,0.18,0.3551265534709498,2,serial_force,0.17788126725865677,0.6862627900241627
