waveform,seed,architecture,nrmse_slow,nrmse_fast
sinusoid,1,serial_force,0.17809840610819494,0.7828743532675141
sinusoid,1,serial_force_prefilter,0.13481529562102695,0.9997477799028046
sinusoid,1,parallel,0.1950330179261795,0.8682504376842597
sinusoid,1,parallel_prefilter,0.18225156563030695,1.0011390033766456
sinusoid,2,serial_force,0.17971290089446584,0.7480738896010529
sinusoid,2,serial_force_prefilter,0.12057098998046838,1.0008002907439464
sinusoid,2,parallel,0.263412063155176,0.8453699933186462
sinusoid,2,parallel_prefilter,0.14888108976263717,1.0429838778597804
sinusoid,3,serial_force,0.1867935627187685,0.7815272564253245
sinusoid,3,serial_force_prefilter,0.17739686889338077,1.002269326598266
sinusoid,3,parallel,0.1977031858655112,0.860247928989373
sinusoid,3,parallel_prefilter,0.18359276746623665,1.0140403286473996
sinusoid,4,serial_force,0.17671290270464265,0.7869586799958621
sinusoid,4,serial_force_prefilter,0.14071074970398284,1.0008366075046817
sinusoid,4,parallel,0.20498682006795266,0.8657645482653263
sinusoid,4,parallel_prefilter,0.168360860810757,1.0030471189294314
sinusoid,5,serial_force,0.26065881986349404,0.7512602997095167
sinusoid,5,serial_force_prefilter,0.16406661970028985,1.0012249557168644
sinusoid,5,parallel,0.2875873025632092,0.8498739827859902
sinusoid,5,parallel_prefilter,0.1776399374199553,1.0373209765482403
sinusoid,6,serial_force,0.27172194137240585,0.7407046971724875
sinusoid,6,serial_force_prefilter,0.23876544745723619,1.0010490805543626
sinusoid,6,parallel,0.24811330400962356,0.8358403337325481
sinusoid,6,parallel_prefilter,0.21832322624558279,1.0015442413275126
broadband,1,serial_force,0.21749209991932716,0.8241051142093332
broadband,1,serial_force_prefilter,0.1472516410152256,0.9997425117554662
broadband,1,parallel,0.20607333232815084,0.9334176856027117
broadband,1,parallel_prefilter,0.18305900528343474,0.998151334084303
broadband,2,serial_force,0.1835790162356095,0.8220362270799673
broadband,2,serial_force_prefilter,0.1153989794698858,0.9995966131144151
broadband,2,parallel,0.20703089836344887,0.9286905766890461
broadband,2,parallel_prefilter,0.11437121031199105,1.0159329357083802
broadband,3,serial_force,0.2169708874252038,0.7880706776096916
broadband,3,serial_force_prefilter,0.15229009018062556,1.0033767610120492
broadband,3,parallel,0.1617469979527735,0.8958613767107012
broadband,3,parallel_prefilter,0.14720682467394436,0.9974966738987631
broadband,4,serial_force,0.1651610822600439,0.7834229043913751
broadband,4,serial_force_prefilter,0.11491836870310497,1.0042632512156728
broadband,4,parallel,0.16923153967447027,0.9160628211268149
broadband,4,parallel_prefilter,0.11259262289201453,1.0091683642045575
broadband,5,serial_force,0.2650347953655402,0.7427844500388991
broadband,5,serial_force_prefilter,0.1774893697858646,1.0003538489162842
broadband,5,parallel,0.2536462980627368,0.8537013880369964
broadband,5,parallel_prefilter,0.17303230196861852,1.0039457712213504
broadband,6,serial_force,0.3150834784743656,0.7187896266759902
broadband,6,serial_force_prefilter,0.2594518751197243,1.0012795782508692
broadband,6,parallel,0.29063408320314343,0.8626967035800599
broadband,6,parallel_prefilter,0.2395375378481951,1.0034453620709576
