seed,architecture,nrmse_slow,nrmse_fast
1,serial_force,0.9420769648956566,0.831502617987277
1,parallel,0.8009035250824555,0.8749924735071655
1,esn_matched,0.9476688785367792,0.7066750053283795
2,serial_force,1.039243198172949,0.8399787235549538
2,parallel,0.8778133292456498,0.8816391072507607
2,esn_matched,0.9662932938827993,0.74249051083761
3,serial_force,0.9531225258078182,0.8569135696608426
3,parallel,0.8269686655339386,0.8850024123325543
3,esn_matched,0.9857757084079725,0.6992330750928154
4,serial_force,0.9318536963409019,0.829548253513914
4,parallel,0.8596395032319251,0.8777955829522792
4,esn_matched,0.9576597699118058,0.7728971589587689
5,serial_force,1.053283409546942,0.806156045915262
5,parallel,0.8502414042278348,0.8254587509917077
5,esn_matched,0.9349875193690823,0.7354393385404114
6,serial_force,1.0157514757303077,0.8358406788502438
6,parallel,1.0621718066999881,0.8753979023751333
6,esn_matched,0.9764245145125552,0.7320396182647704
